iterazione,pinguino,lunghezza
269,0,527.06
269,1,527.06
269,2,527.06
270,0,527.06
270,1,527.06
270,2,527.06
271,0,527.06
271,1,577.43
271,2,527.06
272,0,527.06
272,1,527.06
272,2,596.06
273,0,527.06
273,1,527.06
273,2,596.06
274,0,527.06
274,1,691.11
274,2,691.11
275,0,527.06
275,1,527.06
275,2,626.04
276,0,527.06
276,1,527.06
276,2,626.04
277,0,527.06
277,1,527.06
277,2,527.06
278,0,527.06
278,1,527.06
278,2,527.06
279,0,527.06
279,1,527.06
279,2,527.06
280,0,527.06
280,1,527.06
280,2,695.03
281,0,527.06
281,1,622.12
281,2,527.06
282,0,527.06
282,1,527.06
282,2,527.06
283,0,527.06
283,1,527.06
283,2,691.11
284,0,527.06
284,1,527.06
284,2,527.06
285,0,527.06
285,1,527.06
285,2,527.06
286,0,527.06
286,1,527.06
286,2,527.06
287,0,527.06
287,1,527.06
287,2,596.06
288,0,527.06
288,1,527.06
288,2,527.06
289,0,527.06
289,1,527.06
289,2,577.43
290,0,527.06
290,1,527.06
290,2,527.06
291,0,527.06
291,1,527.06
291,2,527.06
292,0,527.06
292,1,527.06
292,2,527.06
293,0,527.06
293,1,527.06
293,2,527.06
294,0,527.06
294,1,527.06
294,2,527.06
295,0,527.06
295,1,527.06
295,2,527.06
296,0,527.06
296,1,527.06
296,2,527.06
297,0,527.06
297,1,527.06
297,2,527.06
298,0,527.06
298,1,527.37
298,2,527.06
299,0,527.06
299,1,527.06
299,2,527.06
300,0,527.06
300,1,527.06
300,2,527.06
283,2,739.19
284,0,739.19
284,1,739.19
284,2,739.19
285,0,739.19
285,1,739.19
285,2,739.19
286,0,739.19
286,1,739.19
286,2,739.19
287,0,739.19
287,1,739.19
287,2,739.19
288,0,739.19
288,1,909.45
288,2,739.19
289,0,739.19
289,1,739.19
289,2,909.45
290,0,739.19
290,1,739.19
290,2,739.19
291,0,739.19
291,1,739.19
291,2,739.19
292,0,739.19
292,1,739.19
292,2,739.19
293,0,739.19
293,1,739.19
293,2,859.72
294,0,739.19
294,1,859.72
294,2,739.19
295,0,739.19
295,1,739.19
295,2,739.19
296,0,739.19
296,1,739.19
296,2,739.19
297,0,739.19
297,1,739.19
297,2,739.19
298,0,739.19
298,1,739.19
298,2,739.19
299,0,739.19
299,1,739.19
299,2,739.19
300,0,739.19
300,1,739.19
300,2,739.19
