iteration,penguin,length
54,4,661030.66
54,9,659686.49
54,1,655810.13
54,13,659800.30
54,5,657759.27
54,10,661147.15
54,2,658297.52
54,14,664370.66
54,6,661134.63
54,11,658874.77
54,3,660114.03
54,15,656260.88
54,7,660476.34
55,8,661202.60
55,0,653700.16
55,4,660320.94
55,12,661115.17
55,9,664618.71
55,1,657915.80
55,5,657581.83
55,13,659929.64
55,10,660482.62
55,2,657638.46
55,6,653381.92
55,14,664862.52
55,11,655199.71
55,3,663652.30
55,7,659714.53
55,15,659139.92
56,8,662794.49
56,12,659060.10
56,4,659937.88
56,0,658176.50
56,9,660300.43
56,13,663592.60
56,5,656136.63
56,1,660292.19
56,10,661989.26
56,14,659356.86
56,6,654478.73
56,2,660334.59
56,11,659856.08
56,15,663471.89
56,7,656114.68
56,3,662234.41
57,8,660542.63
57,12,660148.63
57,0,654361.22
57,4,658596.79
57,9,661340.16
57,13,665956.40
57,5,662152.10
57,10,654253.22
57,14,661736.09
57,1,655905.79
57,6,658765.77
57,11,656742.65
57,15,656556.97
57,2,655975.92
57,7,660651.75
57,3,664323.94
58,0,661200.66
58,8,657399.57
58,12,660976.52
58,4,657596.48
58,1,658624.45
58,9,666656.43
58,13,659962.83
58,5,651004.84
58,2,659650.48
58,10,657512.76
58,14,660857.55
58,6,654978.43
58,3,657322.70
58,11,656687.74
58,15,657876.49
58,7,657935.40
59,8,657137.60
59,0,652677.21
59,4,658783.71
59,12,654323.52
59,9,659838.26
59,1,658501.32
59,5,651004.84
59,13,656123.27
59,10,658101.01
59,2,659752.74
59,6,655006.60
59,14,663798.47
59,11,657025.48
59,3,656673.35
59,7,652872.03
59,15,652776.99
60,8,664895.63
60,0,657425.39
60,4,665923.64
60,12,659681.51
60,9,663377.37
60,1,658845.97
60,5,651004.84
60,13,662383.94
60,10,657132.41
60,2,658600.02
60,6,661136.98
60,14,659625.65
60,11,654802.78
60,3,665261.29
60,7,660951.95
60,15,659173.67
61,4,658580.34
61,12,658180.95
61,0,657602.79
61,8,660550.14
61,5,651004.84
61,13,658924.54
61,1,657510.11
61,9,659177.36
61,6,660063.74
61,14,660810.74
61,2,659785.27
61,10,653919.00
61,7,659570.12
61,15,655613.62
61,3,660643.46
61,11,659806.66
62,8,659099.46
62,4,665073.86
62,0,656625.94
62,12,658414.59
62,9,661179.46
62,5,651004.84
62,1,658008.70
62,13,657564.82
62,10,658155.69
62,2,658309.92
62,6,656241.91
62,14,663732.20
62,11,661511.01
62,3,659278.57
62,7,656398.99
62,15,661195.74
63,4,661672.30
63,12,656673.64
63,0,660743.88
63,8,664928.64
63,5,651004.84
63,13,662366.98
63,1,656137.82
63,9,664984.02
63,6,658099.86
63,14,665574.40
63,2,659615.84
63,10,656310.26
63,7,654805.39
63,15,656342.41
63,3,662831.86
63,11,658632.11
64,4,660157.79
64,8,655372.72
64,12,658490.95
64,0,655286.09
64,5,655861.39
64,9,657683.91
64,13,662772.84
64,1,656379.60
64,6,657499.90
64,10,657476.86
64,14,660357.38
64,2,661447.13
64,7,657087.88
64,11,662423.10
64,15,659252.63
64,3,660914.73
65,8,657411.72
65,4,663487.21
65,0,656677.94
65,12,663379.85
65,9,662354.02
65,5,660763.69
65,1,654212.40
65,13,657087.04
65,10,656433.09
65,14,659865.88
65,2,656733.92
65,6,654836.15
65,11,658222.78
65,15,659651.47
65,3,656598.54
65,7,656234.99
66,4,655635.28
66,8,657673.18
